          team_name           |  season   | matches_played | wins | draws | losses | goals_for | goals_against | goal_difference 
------------------------------+-----------+----------------+------+-------+--------+-----------+---------------+-----------------
 1. FC Kaiserslautern         | 2010/2011 |             34 |   13 |     7 |     14 |        48 |            51 |              -3
 1. FC Kaiserslautern         | 2011/2012 |             34 |    4 |    11 |     19 |        24 |            54 |             -30
 1. FC Köln                   | 2008/2009 |             34 |   11 |     6 |     17 |        35 |            50 |             -15
 1. FC Köln                   | 2009/2010 |             34 |    9 |    11 |     14 |        33 |            42 |              -9
 1. FC Köln                   | 2010/2011 |             34 |   13 |     5 |     16 |        47 |            62 |             -15
 1. FC Köln                   | 2011/2012 |             34 |    8 |     6 |     20 |        39 |            75 |             -36
 1. FC Köln                   | 2014/2015 |             34 |    9 |    13 |     12 |        34 |            40 |              -6
 1. FC Köln                   | 2015/2016 |             34 |   10 |    13 |     11 |        38 |            42 |              -4
 1. FC Nürnberg               | 2009/2010 |             34 |    8 |     7 |     19 |        32 |            58 |             -26
 1. FC Nürnberg               | 2010/2011 |             34 |   13 |     8 |     13 |        47 |            45 |               2
 1. FC Nürnberg               | 2011/2012 |             34 |   12 |     6 |     16 |        38 |            49 |             -11
 1. FC Nürnberg               | 2012/2013 |             34 |   11 |    11 |     12 |        39 |            47 |              -8
 1. FC Nürnberg               | 2013/2014 |             34 |    5 |    11 |     18 |        37 |            70 |             -33
 1. FSV Mainz 05              | 2009/2010 |             34 |   12 |    11 |     11 |        36 |            42 |              -6
 1. FSV Mainz 05              | 2010/2011 |             34 |   18 |     4 |     12 |        52 |            39 |              13
 1. FSV Mainz 05              | 2011/2012 |             34 |    9 |    12 |     13 |        47 |            51 |              -4
 1. FSV Mainz 05              | 2012/2013 |             34 |   10 |    12 |     12 |        42 |            44 |              -2
 1. FSV Mainz 05              | 2013/2014 |             34 |   16 |     5 |     13 |        52 |            54 |              -2
 1. FSV Mainz 05              | 2014/2015 |             34 |    9 |    13 |     12 |        45 |            47 |              -2
 1. FSV Mainz 05              | 2015/2016 |             34 |   14 |     8 |     12 |        46 |            42 |               4
 Aberdeen                     | 2008/2009 |             38 |   14 |    11 |     13 |        41 |            40 |               1
 Aberdeen                     | 2009/2010 |             38 |   10 |    11 |     17 |        36 |            52 |             -16
 Aberdeen                     | 2010/2011 |             38 |   11 |     5 |     22 |        39 |            59 |             -20
 Aberdeen                     | 2011/2012 |             38 |    9 |    14 |     15 |        36 |            44 |              -8
 Aberdeen                     | 2012/2013 |             38 |   11 |    15 |     12 |        41 |            43 |              -2
 Aberdeen                     | 2013/2014 |             38 |   20 |     8 |     10 |        53 |            38 |              15
 Aberdeen                     | 2014/2015 |             38 |   23 |     6 |      9 |        57 |            33 |              24
 Aberdeen                     | 2015/2016 |             38 |   22 |     5 |     11 |        62 |            48 |              14
 AC Ajaccio                   | 2011/2012 |             38 |    9 |    14 |     15 |        40 |            61 |             -21
 AC Ajaccio                   | 2012/2013 |             38 |    9 |    15 |     14 |        39 |            51 |             -12
 AC Ajaccio                   | 2013/2014 |             38 |    4 |    11 |     23 |        37 |            72 |             -35
 AC Arles-Avignon             | 2010/2011 |             38 |    3 |    11 |     24 |        21 |            70 |             -49
 AC Bellinzona                | 2008/2009 |             36 |   11 |    10 |     15 |        44 |            51 |              -7
 AC Bellinzona                | 2009/2010 |             36 |    7 |     4 |     25 |        42 |            92 |             -50
 AC Bellinzona                | 2010/2011 |             36 |    7 |    11 |     18 |        42 |            75 |             -33
 Académica de Coimbra         | 2008/2009 |             30 |   10 |     9 |     11 |        28 |            32 |              -4
 Académica de Coimbra         | 2009/2010 |             30 |    8 |     9 |     13 |        37 |            42 |              -5
 Académica de Coimbra         | 2010/2011 |             30 |    7 |     9 |     14 |        32 |            48 |             -16
 Académica de Coimbra         | 2011/2012 |             30 |    7 |     8 |     15 |        27 |            38 |             -11
 Académica de Coimbra         | 2012/2013 |             30 |    6 |    10 |     14 |        33 |            45 |             -12
 Académica de Coimbra         | 2013/2014 |             30 |    9 |    10 |     11 |        25 |            35 |             -10
 Académica de Coimbra         | 2014/2015 |             34 |    4 |    17 |     13 |        26 |            46 |             -20
 Académica de Coimbra         | 2015/2016 |             34 |    5 |    10 |     19 |        32 |            60 |             -28
 ADO Den Haag                 | 2008/2009 |             34 |    8 |     8 |     18 |        41 |            58 |             -17
 ADO Den Haag                 | 2009/2010 |             34 |    7 |     9 |     18 |        38 |            59 |             -21
 ADO Den Haag                 | 2010/2011 |             34 |   16 |     6 |     12 |        63 |            55 |               8
 ADO Den Haag                 | 2011/2012 |             34 |    8 |     8 |     18 |        38 |            67 |             -29
 ADO Den Haag                 | 2012/2013 |             34 |    9 |    13 |     12 |        49 |            63 |             -14
 ADO Den Haag                 | 2013/2014 |             34 |   12 |     7 |     15 |        45 |            64 |             -19
 ADO Den Haag                 | 2014/2015 |             34 |    9 |    10 |     15 |        44 |            53 |              -9
 ADO Den Haag                 | 2015/2016 |             34 |   10 |    13 |     11 |        48 |            49 |              -1
 AJ Auxerre                   | 2008/2009 |             38 |   16 |     7 |     15 |        35 |            35 |               0
 AJ Auxerre                   | 2009/2010 |             38 |   20 |    11 |      7 |        42 |            29 |              13
 AJ Auxerre                   | 2010/2011 |             38 |   10 |    19 |      9 |        45 |            41 |               4
 AJ Auxerre                   | 2011/2012 |             38 |    7 |    13 |     18 |        46 |            57 |             -11
 Ajax                         | 2008/2009 |             34 |   21 |     5 |      8 |        74 |            41 |              33
 Ajax                         | 2009/2010 |             34 |   27 |     4 |      3 |       106 |            20 |              86
 Ajax                         | 2010/2011 |             34 |   22 |     7 |      5 |        72 |            30 |              42
 Ajax                         | 2011/2012 |             34 |   23 |     7 |      4 |        93 |            36 |              57
 Ajax                         | 2012/2013 |             34 |   22 |    10 |      2 |        83 |            31 |              52
 Ajax                         | 2013/2014 |             34 |   20 |    11 |      3 |        69 |            28 |              41
 Ajax                         | 2014/2015 |             34 |   21 |     8 |      5 |        69 |            29 |              40
 Ajax                         | 2015/2016 |             34 |   25 |     7 |      2 |        81 |            21 |              60
 Amadora                      | 2008/2009 |             30 |    8 |    10 |     12 |        26 |            38 |             -12
 Angers SCO                   | 2015/2016 |             38 |   13 |    11 |     14 |        40 |            38 |               2
 Arka Gdynia                  | 2008/2009 |             30 |    7 |     9 |     14 |        27 |            39 |             -12
 Arka Gdynia                  | 2009/2010 |             30 |    7 |     7 |     16 |        28 |            39 |             -11
 Arka Gdynia                  | 2010/2011 |             30 |    6 |    10 |     14 |        22 |            43 |             -21
 Arsenal                      | 2008/2009 |             38 |   20 |    12 |      6 |        68 |            37 |              31
 Arsenal                      | 2009/2010 |             38 |   23 |     6 |      9 |        83 |            41 |              42
 Arsenal                      | 2010/2011 |             38 |   19 |    11 |      8 |        72 |            43 |              29
 Arsenal                      | 2011/2012 |             38 |   21 |     7 |     10 |        74 |            49 |              25
 Arsenal                      | 2012/2013 |             38 |   21 |    10 |      7 |        72 |            37 |              35
 Arsenal                      | 2013/2014 |             38 |   24 |     7 |      7 |        68 |            41 |              27
 Arsenal                      | 2014/2015 |             38 |   22 |     9 |      7 |        71 |            36 |              35
 Arsenal                      | 2015/2016 |             38 |   20 |    11 |      7 |        65 |            36 |              29
 AS Monaco                    | 2008/2009 |             38 |   11 |    12 |     15 |        41 |            45 |              -4
 AS Monaco                    | 2009/2010 |             38 |   15 |    10 |     13 |        39 |            45 |              -6
 AS Monaco                    | 2010/2011 |             38 |    9 |    17 |     12 |        36 |            40 |              -4
 AS Monaco                    | 2013/2014 |             38 |   23 |    11 |      4 |        63 |            31 |              32
 AS Monaco                    | 2014/2015 |             38 |   20 |    11 |      7 |        51 |            26 |              25
 AS Monaco                    | 2015/2016 |             38 |   17 |    14 |      7 |        57 |            50 |               7
 AS Nancy-Lorraine            | 2008/2009 |             38 |   10 |    12 |     16 |        38 |            47 |              -9
 AS Nancy-Lorraine            | 2009/2010 |             38 |   13 |     9 |     16 |        46 |            53 |              -7
 AS Nancy-Lorraine            | 2010/2011 |             38 |   13 |     9 |     16 |        43 |            48 |              -5
 AS Nancy-Lorraine            | 2011/2012 |             38 |   11 |    12 |     15 |        38 |            48 |             -10
 AS Nancy-Lorraine            | 2012/2013 |             38 |    9 |    11 |     18 |        38 |            58 |             -20
 AS Saint-Étienne             | 2008/2009 |             38 |   11 |     7 |     20 |        40 |            56 |             -16
 AS Saint-Étienne             | 2009/2010 |             38 |   10 |    10 |     18 |        27 |            45 |             -18
 AS Saint-Étienne             | 2010/2011 |             38 |   12 |    13 |     13 |        46 |            47 |              -1
 AS Saint-Étienne             | 2011/2012 |             38 |   16 |     9 |     13 |        49 |            45 |               4
 AS Saint-Étienne             | 2012/2013 |             38 |   16 |    15 |      7 |        60 |            32 |              28
 AS Saint-Étienne             | 2013/2014 |             38 |   20 |     9 |      9 |        56 |            34 |              22
 AS Saint-Étienne             | 2014/2015 |             38 |   19 |    12 |      7 |        51 |            30 |              21
 AS Saint-Étienne             | 2015/2016 |             38 |   17 |     7 |     14 |        42 |            37 |               5
 Aston Villa                  | 2008/2009 |             38 |   17 |    11 |     10 |        54 |            48 |               6
 Aston Villa                  | 2009/2010 |             38 |   17 |    13 |      8 |        52 |            39 |              13
 Aston Villa                  | 2010/2011 |             38 |   12 |    12 |     14 |        48 |            59 |             -11
 Aston Villa                  | 2011/2012 |             38 |    7 |    17 |     14 |        37 |            53 |             -16
 Aston Villa                  | 2012/2013 |             38 |   10 |    11 |     17 |        47 |            69 |             -22
 Aston Villa                  | 2013/2014 |             38 |   10 |     8 |     20 |        39 |            61 |             -22
 Aston Villa                  | 2014/2015 |             38 |   10 |     8 |     20 |        31 |            57 |             -26
 Aston Villa                  | 2015/2016 |             38 |    3 |     8 |     27 |        27 |            76 |             -49
 Atalanta                     | 2008/2009 |             38 |   13 |     8 |     17 |        45 |            48 |              -3
 Atalanta                     | 2009/2010 |             38 |    9 |     8 |     21 |        37 |            53 |             -16
 Atalanta                     | 2011/2012 |             35 |   13 |    11 |     11 |        40 |            40 |               0
 Atalanta                     | 2012/2013 |             38 |   11 |     9 |     18 |        39 |            56 |             -17
 Atalanta                     | 2013/2014 |             38 |   15 |     5 |     18 |        43 |            51 |              -8
 Atalanta                     | 2014/2015 |             38 |    7 |    16 |     15 |        38 |            57 |             -19
 Atalanta                     | 2015/2016 |             38 |   11 |    12 |     15 |        41 |            47 |              -6
 Athletic Club de Bilbao      | 2008/2009 |             38 |   12 |     8 |     18 |        47 |            62 |             -15
 Athletic Club de Bilbao      | 2009/2010 |             38 |   15 |     9 |     14 |        50 |            53 |              -3
 Athletic Club de Bilbao      | 2010/2011 |             38 |   18 |     4 |     16 |        59 |            55 |               4
 Athletic Club de Bilbao      | 2011/2012 |             38 |   12 |    13 |     13 |        49 |            52 |              -3
 Athletic Club de Bilbao      | 2012/2013 |             38 |   12 |     9 |     17 |        44 |            65 |             -21
 Athletic Club de Bilbao      | 2013/2014 |             38 |   20 |    10 |      8 |        66 |            39 |              27
 Athletic Club de Bilbao      | 2014/2015 |             38 |   15 |    10 |     13 |        42 |            41 |               1
 Athletic Club de Bilbao      | 2015/2016 |             38 |   18 |     8 |     12 |        58 |            45 |              13
 Atlético Madrid              | 2008/2009 |             38 |   20 |     7 |     11 |        80 |            57 |              23
 Atlético Madrid              | 2009/2010 |             38 |   13 |     8 |     17 |        57 |            61 |              -4
 Atlético Madrid              | 2010/2011 |             38 |   17 |     7 |     14 |        62 |            53 |               9
 Atlético Madrid              | 2011/2012 |             38 |   15 |    11 |     12 |        53 |            46 |               7
 Atlético Madrid              | 2012/2013 |             38 |   23 |     7 |      8 |        65 |            31 |              34
 Atlético Madrid              | 2013/2014 |             38 |   28 |     6 |      4 |        77 |            26 |              51
 Atlético Madrid              | 2014/2015 |             38 |   23 |     9 |      6 |        67 |            29 |              38
 Atlético Madrid              | 2015/2016 |             38 |   28 |     4 |      6 |        63 |            18 |              45
 AZ                           | 2008/2009 |             34 |   25 |     5 |      4 |        66 |            22 |              44
 AZ                           | 2009/2010 |             34 |   19 |     5 |     10 |        64 |            34 |              30
 AZ                           | 2010/2011 |             34 |   17 |     8 |      9 |        55 |            44 |              11
 AZ                           | 2011/2012 |             34 |   19 |     8 |      7 |        64 |            35 |              29
 AZ                           | 2012/2013 |             34 |   10 |     9 |     15 |        56 |            54 |               2
 AZ                           | 2013/2014 |             34 |   13 |     8 |     13 |        54 |            50 |               4
 AZ                           | 2014/2015 |             34 |   19 |     5 |     10 |        63 |            56 |               7
 AZ                           | 2015/2016 |             34 |   18 |     5 |     11 |        70 |            53 |              17
 Bari                         | 2009/2010 |             38 |   13 |    11 |     14 |        49 |            49 |               0
 Bari                         | 2010/2011 |             38 |    5 |     9 |     24 |        27 |            56 |             -29
 Bayer 04 Leverkusen          | 2008/2009 |             34 |   14 |     7 |     13 |        59 |            46 |              13
 Bayer 04 Leverkusen          | 2009/2010 |             34 |   15 |    14 |      5 |        65 |            38 |              27
 Bayer 04 Leverkusen          | 2010/2011 |             34 |   20 |     8 |      6 |        64 |            44 |              20
 Bayer 04 Leverkusen          | 2011/2012 |             34 |   15 |     9 |     10 |        52 |            44 |               8
 Bayer 04 Leverkusen          | 2012/2013 |             34 |   19 |     8 |      7 |        65 |            39 |              26
 Bayer 04 Leverkusen          | 2013/2014 |             34 |   19 |     4 |     11 |        60 |            41 |              19
 Bayer 04 Leverkusen          | 2014/2015 |             34 |   17 |    10 |      7 |        62 |            37 |              25
 Bayer 04 Leverkusen          | 2015/2016 |             34 |   18 |     6 |     10 |        56 |            40 |              16
 Beerschot AC                 | 2008/2009 |             34 |   11 |     9 |     14 |        44 |            42 |               2
 Beerschot AC                 | 2009/2010 |             28 |    9 |     8 |     11 |        30 |            43 |             -13
 Beerschot AC                 | 2010/2011 |             30 |    5 |    11 |     14 |        24 |            40 |             -16
 Beerschot AC                 | 2011/2012 |             30 |    9 |     9 |     12 |        45 |            51 |              -6
 Beerschot AC                 | 2012/2013 |             30 |    6 |     5 |     19 |        31 |            61 |             -30
 Birmingham City              | 2009/2010 |             38 |   13 |    11 |     14 |        38 |            47 |              -9
 Birmingham City              | 2010/2011 |             38 |    8 |    15 |     15 |        37 |            58 |             -21
 Blackburn Rovers             | 2008/2009 |             38 |   10 |    11 |     17 |        40 |            60 |             -20
 Blackburn Rovers             | 2009/2010 |             38 |   13 |    11 |     14 |        41 |            55 |             -14
 Blackburn Rovers             | 2010/2011 |             38 |   11 |    10 |     17 |        46 |            59 |             -13
 Blackburn Rovers             | 2011/2012 |             38 |    8 |     7 |     23 |        48 |            78 |             -30
 Blackpool                    | 2010/2011 |             38 |   10 |     9 |     19 |        55 |            78 |             -23
 Boavista FC                  | 2014/2015 |             34 |    9 |     7 |     18 |        27 |            50 |             -23
 Boavista FC                  | 2015/2016 |             34 |    8 |     9 |     17 |        24 |            41 |             -17
 Bologna                      | 2008/2009 |             38 |    9 |    10 |     19 |        43 |            62 |             -19
 Bologna                      | 2009/2010 |             38 |   10 |    12 |     16 |        42 |            55 |             -13
 Bologna                      | 2010/2011 |             38 |   11 |    12 |     15 |        35 |            52 |             -17
 Bologna                      | 2011/2012 |             35 |   11 |    11 |     13 |        36 |            41 |              -5
 Bologna                      | 2012/2013 |             38 |   11 |    11 |     16 |        46 |            52 |              -6
 Bologna                      | 2013/2014 |             38 |    5 |    14 |     19 |        28 |            58 |             -30
 Bologna                      | 2015/2016 |             38 |   11 |     9 |     18 |        33 |            45 |             -12
 Bolton Wanderers             | 2008/2009 |             38 |   11 |     8 |     19 |        41 |            53 |             -12
 Bolton Wanderers             | 2009/2010 |             38 |   10 |     9 |     19 |        42 |            67 |             -25
 Bolton Wanderers             | 2010/2011 |             38 |   12 |    10 |     16 |        52 |            56 |              -4
 Bolton Wanderers             | 2011/2012 |             38 |   10 |     6 |     22 |        46 |            77 |             -31
 Borussia Dortmund            | 2008/2009 |             34 |   15 |    14 |      5 |        60 |            37 |              23
 Borussia Dortmund            | 2009/2010 |             34 |   16 |     9 |      9 |        54 |            42 |              12
 Borussia Dortmund            | 2010/2011 |             34 |   23 |     6 |      5 |        67 |            22 |              45
 Borussia Dortmund            | 2011/2012 |             34 |   25 |     6 |      3 |        80 |            25 |              55
 Borussia Dortmund            | 2012/2013 |             34 |   19 |     9 |      6 |        81 |            42 |              39
 Borussia Dortmund            | 2013/2014 |             34 |   22 |     5 |      7 |        80 |            38 |              42
 Borussia Dortmund            | 2014/2015 |             34 |   13 |     7 |     14 |        47 |            42 |               5
 Borussia Dortmund            | 2015/2016 |             34 |   24 |     6 |      4 |        82 |            34 |              48
 Borussia Mönchengladbach     | 2008/2009 |             34 |    8 |     7 |     19 |        39 |            62 |             -23
 Borussia Mönchengladbach     | 2009/2010 |             34 |   10 |     9 |     15 |        43 |            60 |             -17
 Borussia Mönchengladbach     | 2010/2011 |             34 |   10 |     6 |     18 |        48 |            65 |             -17
 Borussia Mönchengladbach     | 2011/2012 |             34 |   17 |     9 |      8 |        49 |            24 |              25
 Borussia Mönchengladbach     | 2012/2013 |             34 |   12 |    11 |     11 |        45 |            49 |              -4
 Borussia Mönchengladbach     | 2013/2014 |             34 |   16 |     7 |     11 |        59 |            43 |              16
 Borussia Mönchengladbach     | 2014/2015 |             34 |   19 |     9 |      6 |        53 |            26 |              27
 Borussia Mönchengladbach     | 2015/2016 |             34 |   17 |     4 |     13 |        67 |            50 |              17
 Bournemouth                  | 2015/2016 |             38 |   11 |     9 |     18 |        45 |            67 |             -22
 Brescia                      | 2010/2011 |             38 |    7 |    11 |     20 |        34 |            52 |             -18
 BSC Young Boys               | 2008/2009 |             36 |   22 |     7 |      7 |        85 |            46 |              39
 BSC Young Boys               | 2009/2010 |             36 |   25 |     2 |      9 |        78 |            47 |              31
 BSC Young Boys               | 2010/2011 |             36 |   15 |    12 |      9 |        65 |            50 |              15
 BSC Young Boys               | 2011/2012 |             34 |   13 |    12 |      9 |        52 |            38 |              14
 BSC Young Boys               | 2012/2013 |             36 |   11 |    10 |     15 |        48 |            50 |              -2
 BSC Young Boys               | 2013/2014 |             36 |   17 |     8 |     11 |        59 |            50 |               9
 BSC Young Boys               | 2014/2015 |             36 |   19 |     9 |      8 |        64 |            45 |              19
 BSC Young Boys               | 2015/2016 |             36 |   20 |     9 |      7 |        78 |            47 |              31
 Burnley                      | 2009/2010 |             38 |    8 |     6 |     24 |        42 |            82 |             -40
 Burnley                      | 2014/2015 |             38 |    7 |    12 |     19 |        28 |            53 |             -25
 CA Osasuna                   | 2008/2009 |             38 |   10 |    13 |     15 |        41 |            47 |              -6
 CA Osasuna                   | 2009/2010 |             38 |   11 |    10 |     17 |        37 |            46 |              -9
 CA Osasuna                   | 2010/2011 |             38 |   13 |     8 |     17 |        45 |            46 |              -1
 CA Osasuna                   | 2011/2012 |             38 |   13 |    15 |     10 |        44 |            61 |             -17
 CA Osasuna                   | 2012/2013 |             38 |   10 |     9 |     19 |        33 |            50 |             -17
 CA Osasuna                   | 2013/2014 |             38 |   10 |     9 |     19 |        32 |            62 |             -30
 Cagliari                     | 2008/2009 |             38 |   15 |     8 |     15 |        49 |            50 |              -1
 Cagliari                     | 2009/2010 |             38 |   11 |    11 |     16 |        56 |            58 |              -2
 Cagliari                     | 2010/2011 |             38 |   12 |     9 |     17 |        44 |            51 |              -7
 Cagliari                     | 2011/2012 |             36 |    9 |    13 |     14 |        35 |            43 |              -8
 Cagliari                     | 2012/2013 |             38 |   12 |    11 |     15 |        43 |            55 |             -12
 Cagliari                     | 2013/2014 |             38 |    9 |    12 |     17 |        34 |            53 |             -19
 Cagliari                     | 2014/2015 |             38 |    8 |    10 |     20 |        48 |            68 |             -20
 Cardiff City                 | 2013/2014 |             38 |    7 |     9 |     22 |        32 |            74 |             -42
 Carpi                        | 2015/2016 |             38 |    9 |    11 |     18 |        37 |            57 |             -20
 Catania                      | 2008/2009 |             38 |   12 |     7 |     19 |        41 |            51 |             -10
 Catania                      | 2009/2010 |             38 |   10 |    15 |     13 |        44 |            45 |              -1
 Catania                      | 2010/2011 |             38 |   12 |    10 |     16 |        40 |            52 |             -12
 Catania                      | 2011/2012 |             34 |   10 |    12 |     12 |        42 |            48 |              -6
 Catania                      | 2012/2013 |             38 |   15 |    11 |     12 |        50 |            46 |               4
 Catania                      | 2013/2014 |             38 |    8 |     8 |     22 |        34 |            66 |             -32
 CD Nacional                  | 2008/2009 |             30 |   15 |     7 |      8 |        47 |            32 |              15
 CD Nacional                  | 2009/2010 |             30 |   10 |     9 |     11 |        36 |            46 |             -10
 CD Nacional                  | 2010/2011 |             30 |   11 |     9 |     10 |        28 |            31 |              -3
 CD Nacional                  | 2011/2012 |             30 |   13 |     5 |     12 |        48 |            50 |              -2
 CD Nacional                  | 2012/2013 |             30 |   11 |     7 |     12 |        45 |            51 |              -6
 CD Nacional                  | 2013/2014 |             30 |   11 |    12 |      7 |        43 |            33 |              10
 CD Nacional                  | 2014/2015 |             34 |   13 |     8 |     13 |        45 |            46 |              -1
 CD Nacional                  | 2015/2016 |             34 |   10 |     8 |     16 |        40 |            56 |             -16
 CD Numancia                  | 2008/2009 |             38 |   10 |     5 |     23 |        38 |            69 |             -31
 CD Tenerife                  | 2009/2010 |             38 |    9 |     9 |     20 |        40 |            74 |             -34
 Celtic                       | 2008/2009 |             38 |   24 |    10 |      4 |        80 |            33 |              47
 Celtic                       | 2009/2010 |             38 |   25 |     6 |      7 |        75 |            39 |              36
 Celtic                       | 2010/2011 |             38 |   29 |     5 |      4 |        85 |            22 |              63
 Celtic                       | 2011/2012 |             38 |   30 |     3 |      5 |        84 |            21 |              63
 Celtic                       | 2012/2013 |             38 |   24 |     7 |      7 |        92 |            35 |              57
 Celtic                       | 2013/2014 |             38 |   31 |     6 |      1 |       102 |            25 |              77
 Celtic                       | 2014/2015 |             38 |   29 |     5 |      4 |        84 |            17 |              67
 Celtic                       | 2015/2016 |             38 |   26 |     8 |      4 |        93 |            31 |              62
 Cesena                       | 2010/2011 |             38 |   11 |    10 |     17 |        38 |            50 |             -12
 Cesena                       | 2011/2012 |             34 |    4 |     8 |     22 |        24 |            56 |             -32
 Cesena                       | 2014/2015 |             38 |    4 |    12 |     22 |        36 |            73 |             -37
 CF Os Belenenses             | 2008/2009 |             30 |    5 |     9 |     16 |        28 |            52 |             -24
 CF Os Belenenses             | 2009/2010 |             30 |    4 |    11 |     15 |        23 |            44 |             -21
 CF Os Belenenses             | 2013/2014 |             30 |    6 |    10 |     14 |        19 |            33 |             -14
 CF Os Belenenses             | 2014/2015 |             34 |   12 |    12 |     10 |        34 |            35 |              -1
 CF Os Belenenses             | 2015/2016 |             34 |   10 |    11 |     13 |        44 |            66 |             -22
 Chelsea                      | 2008/2009 |             38 |   25 |     8 |      5 |        68 |            24 |              44
 Chelsea                      | 2009/2010 |             38 |   27 |     5 |      6 |       103 |            32 |              71
 Chelsea                      | 2010/2011 |             38 |   21 |     8 |      9 |        69 |            33 |              36
 Chelsea                      | 2011/2012 |             38 |   18 |    10 |     10 |        65 |            46 |              19
 Chelsea                      | 2012/2013 |             38 |   22 |     9 |      7 |        75 |            39 |              36
 Chelsea                      | 2013/2014 |             38 |   25 |     7 |      6 |        71 |            27 |              44
 Chelsea                      | 2014/2015 |             38 |   26 |     9 |      3 |        73 |            32 |              41
 Chelsea                      | 2015/2016 |             38 |   12 |    14 |     12 |        59 |            53 |               6
 Chievo Verona                | 2008/2009 |             38 |    8 |    14 |     16 |        35 |            49 |             -14
 Chievo Verona                | 2009/2010 |             38 |   12 |     8 |     18 |        37 |            42 |              -5
 Chievo Verona                | 2010/2011 |             38 |   11 |    13 |     14 |        38 |            40 |              -2
 Chievo Verona                | 2011/2012 |             37 |   11 |    13 |     13 |        33 |            44 |             -11
 Chievo Verona                | 2012/2013 |             38 |   12 |     9 |     17 |        37 |            52 |             -15
 Chievo Verona                | 2013/2014 |             38 |   10 |     6 |     22 |        34 |            54 |             -20
 Chievo Verona                | 2014/2015 |             38 |   10 |    13 |     15 |        28 |            41 |             -13
 Chievo Verona                | 2015/2016 |             38 |   13 |    11 |     14 |        43 |            45 |              -2
 Club Brugge KV               | 2008/2009 |             34 |   18 |     5 |     11 |        59 |            50 |               9
 Club Brugge KV               | 2009/2010 |             28 |   17 |     6 |      5 |        52 |            33 |              19
 Club Brugge KV               | 2010/2011 |             30 |   16 |     5 |      9 |        60 |            35 |              25
 Club Brugge KV               | 2011/2012 |             30 |   19 |     4 |      7 |        51 |            32 |              19
 Club Brugge KV               | 2012/2013 |             30 |   15 |     9 |      6 |        66 |            43 |              23
 Club Brugge KV               | 2014/2015 |             30 |   17 |    10 |      3 |        69 |            28 |              41
 Club Brugge KV               | 2015/2016 |             30 |   21 |     1 |      8 |        64 |            30 |              34
 Córdoba CF                   | 2014/2015 |             38 |    3 |    11 |     24 |        22 |            68 |             -46
 Cracovia                     | 2008/2009 |             30 |    7 |     9 |     14 |        24 |            40 |             -16
 Cracovia                     | 2009/2010 |             30 |    9 |     7 |     14 |        25 |            39 |             -14
 Cracovia                     | 2010/2011 |             30 |    8 |     5 |     17 |        37 |            47 |             -10
 Cracovia                     | 2011/2012 |             30 |    4 |    10 |     16 |        20 |            41 |             -21
 Cracovia                     | 2013/2014 |             30 |   11 |     6 |     13 |        37 |            43 |              -6
 Cracovia                     | 2014/2015 |             30 |   10 |     7 |     13 |        35 |            41 |              -6
 Cracovia                     | 2015/2016 |             30 |   12 |     9 |      9 |        57 |            42 |              15
 Crystal Palace               | 2013/2014 |             38 |   13 |     6 |     19 |        33 |            48 |             -15
 Crystal Palace               | 2014/2015 |             38 |   13 |     9 |     16 |        47 |            51 |              -4
 Crystal Palace               | 2015/2016 |             38 |   11 |     9 |     18 |        39 |            51 |             -12
 CS Marítimo                  | 2008/2009 |             30 |    9 |    10 |     11 |        35 |            36 |              -1
 CS Marítimo                  | 2009/2010 |             30 |   11 |     8 |     11 |        42 |            43 |              -1
 CS Marítimo                  | 2010/2011 |             30 |    9 |     8 |     13 |        33 |            32 |               1
 CS Marítimo                  | 2011/2012 |             30 |   14 |     8 |      8 |        41 |            38 |               3
 CS Marítimo                  | 2012/2013 |             30 |    9 |    11 |     10 |        34 |            45 |             -11
 CS Marítimo                  | 2013/2014 |             30 |   11 |     8 |     11 |        40 |            44 |              -4
 CS Marítimo                  | 2014/2015 |             34 |   12 |     8 |     14 |        46 |            45 |               1
 CS Marítimo                  | 2015/2016 |             34 |   10 |     5 |     19 |        45 |            63 |             -18
 De Graafschap                | 2008/2009 |             34 |    7 |     9 |     18 |        24 |            58 |             -34
 De Graafschap                | 2010/2011 |             34 |    9 |    11 |     14 |        31 |            56 |             -25
 De Graafschap                | 2011/2012 |             34 |    6 |     6 |     22 |        36 |            74 |             -38
 De Graafschap                | 2015/2016 |             34 |    5 |     8 |     21 |        39 |            66 |             -27
 Dijon FCO                    | 2011/2012 |             38 |    9 |     9 |     20 |        38 |            63 |             -25
 DSC Arminia Bielefeld        | 2008/2009 |             34 |    4 |    16 |     14 |        29 |            56 |             -27
 Dundee FC                    | 2012/2013 |             38 |    7 |     9 |     22 |        28 |            66 |             -38
 Dundee FC                    | 2014/2015 |             38 |   11 |    12 |     15 |        46 |            57 |             -11
 Dundee FC                    | 2015/2016 |             38 |   11 |    15 |     12 |        53 |            57 |              -4
 Dundee United                | 2008/2009 |             38 |   13 |    14 |     11 |        47 |            50 |              -3
 Dundee United                | 2009/2010 |             38 |   17 |    12 |      9 |        55 |            47 |               8
 Dundee United                | 2010/2011 |             38 |   17 |    10 |     11 |        55 |            50 |               5
 Dundee United                | 2011/2012 |             38 |   16 |    11 |     11 |        62 |            50 |              12
 Dundee United                | 2012/2013 |             38 |   11 |    14 |     13 |        51 |            62 |             -11
