 home_win_pct | away_win_pct | draw_pct 
--------------+--------------+----------
        45.87 |        28.74 |    25.39
(1 row)

          team_name           | home_played | home_wins | home_win_pct | away_played | away_wins | away_win_pct | home_advantage_pct 
 Novara                       |          18 |         4 |        22.22 |          18 |         2 |        11.11 |              11.11
 Motherwell                   |         151 |        69 |        45.70 |         153 |        53 |        34.64 |              11.05
 Bayer 04 Leverkusen          |         136 |        76 |        55.88 |         136 |        61 |        44.85 |              11.03
 Vitesse                      |         136 |        60 |        44.12 |         136 |        45 |        33.09 |              11.03
 Bologna                      |         131 |        41 |        31.30 |         132 |        27 |        20.45 |              10.84
 Hertha BSC Berlin            |         102 |        38 |        37.25 |         102 |        27 |        26.47 |              10.78
 P. Warszawa                  |          75 |        34 |        45.33 |          75 |        26 |        34.67 |              10.67
 FC Augsburg                  |          85 |        32 |        37.65 |          85 |        23 |        27.06 |              10.59
 Pescara                      |          19 |         4 |        21.05 |          19 |         2 |        10.53 |              10.53
 Leicester City               |          38 |        19 |        50.00 |          38 |        15 |        39.47 |              10.53
 GFC Ajaccio                  |          19 |         5 |        26.32 |          19 |         3 |        15.79 |              10.53
 Reading                      |          19 |         4 |        21.05 |          19 |         2 |        10.53 |              10.53
 Elche CF                     |          38 |        12 |        31.58 |          38 |         8 |        21.05 |              10.53
 Granada CF                   |          95 |        31 |        32.63 |          95 |        21 |        22.11 |              10.53
 Stade Rennais FC             |         152 |        63 |        41.45 |         152 |        48 |        31.58 |               9.87
 AS Monaco                    |         114 |        53 |        46.49 |         114 |        42 |        36.84 |               9.65
 Aberdeen                     |         152 |        67 |        44.08 |         152 |        53 |        34.87 |               9.21
 Cesena                       |          55 |        12 |        21.82 |          55 |         7 |        12.73 |               9.09
 SC Beira Mar                 |          45 |        12 |        26.67 |          45 |         8 |        17.78 |               8.89
 Naval 1° de Maio             |          45 |        13 |        28.89 |          45 |         9 |        20.00 |               8.89
 Rio Ave FC                   |         124 |        43 |        34.68 |         124 |        32 |        25.81 |               8.87
 CF Os Belenenses             |          79 |        22 |        27.85 |          79 |        15 |        18.99 |               8.86
 Sint-Truidense VV            |          59 |        18 |        30.51 |          59 |        13 |        22.03 |               8.47
 Waasland-Beveren             |          48 |        14 |        29.17 |          48 |        10 |        20.83 |               8.33
 S.C. Olhanense               |          75 |        19 |        25.33 |          75 |        13 |        17.33 |               8.00
 Falkirk                      |          38 |         9 |        23.68 |          38 |         6 |        15.79 |               7.89
 RC Celta de Vigo             |          76 |        30 |        39.47 |          76 |        24 |        31.58 |               7.89
 ES Troyes AC                 |          38 |         7 |        18.42 |          38 |         4 |        10.53 |               7.89
 Sporting Lokeren             |         106 |        41 |        38.68 |         106 |        33 |        31.13 |               7.55
 Feirense                     |          15 |         3 |        20.00 |          15 |         2 |        13.33 |               6.67
 KAS Eupen                    |          15 |         3 |        20.00 |          15 |         2 |        13.33 |               6.67
 Trofense                     |          15 |         3 |        20.00 |          15 |         2 |        13.33 |               6.67
 Kilmarnock                   |         152 |        48 |        31.58 |         152 |        38 |        25.00 |               6.58
 St. Johnstone FC             |         132 |        53 |        40.15 |         134 |        45 |        33.58 |               6.57
 Real Betis Balompié          |          95 |        31 |        32.63 |          95 |        25 |        26.32 |               6.32
 Wigan Athletic               |          95 |        28 |        29.47 |          95 |        22 |        23.16 |               6.32
 FC Penafiel                  |          17 |         3 |        17.65 |          17 |         2 |        11.76 |               5.88
 FCV Dender EH                |          17 |         5 |        29.41 |          17 |         4 |        23.53 |               5.88
 SC Paderborn 07              |          17 |         4 |        23.53 |          17 |         3 |        17.65 |               5.88
 Servette FC                  |          35 |        11 |        31.43 |          35 |         9 |        25.71 |               5.71
 St. Mirren                   |         133 |        34 |        25.56 |         133 |        27 |        20.30 |               5.26
 Le Havre AC                  |          19 |         4 |        21.05 |          19 |         3 |        15.79 |               5.26
 AC Arles-Avignon             |          19 |         2 |        10.53 |          19 |         1 |         5.26 |               5.26
 US Boulogne Cote D'Opale     |          19 |         4 |        21.05 |          19 |         3 |        15.79 |               5.26
 Sassuolo                     |          57 |        20 |        35.09 |          57 |        17 |        29.82 |               5.26
 Rangers                      |          76 |        56 |        73.68 |          76 |        52 |        68.42 |               5.26
 Crystal Palace               |          57 |        20 |        35.09 |          57 |        17 |        29.82 |               5.26
 Dundee FC                    |          58 |        16 |        27.59 |          56 |        13 |        23.21 |               4.37
 AS Nancy-Lorraine            |          95 |        30 |        31.58 |          95 |        26 |        27.37 |               4.21
 Lecce                        |          55 |        13 |        23.64 |          56 |        11 |        19.64 |               3.99
 Racing Santander             |          76 |        20 |        26.32 |          76 |        17 |        22.37 |               3.95
 1. FC Köln                   |         102 |        32 |        31.37 |         102 |        28 |        27.45 |               3.92
 Leixões SC                   |          30 |         9 |        30.00 |          30 |         8 |        26.67 |               3.33
 Chievo Verona                |         152 |        46 |        30.26 |         151 |        41 |        27.15 |               3.11
 VfL Bochum                   |          34 |         7 |        20.59 |          34 |         6 |        17.65 |               2.94
 FC Zürich                    |         143 |        62 |        43.36 |         143 |        58 |        40.56 |               2.80
 Aston Villa                  |         152 |        45 |        29.61 |         152 |        41 |        26.97 |               2.63
 FC Vaduz                     |          54 |        10 |        18.52 |          54 |         9 |        16.67 |               1.85
 Hibernian                    |         115 |        33 |        28.70 |         113 |        32 |        28.32 |               0.38
 Watford                      |          19 |         6 |        31.58 |          19 |         6 |        31.58 |               0.00
 RC Recreativo                |          19 |         4 |        21.05 |          19 |         4 |        21.05 |               0.00
 Partick Thistle F.C.         |          57 |        16 |        28.07 |          57 |        16 |        28.07 |               0.00
 Blackpool                    |          19 |         5 |        26.32 |          19 |         5 |        26.32 |               0.00
 FC St. Pauli                 |          17 |         4 |        23.53 |          17 |         4 |        23.53 |               0.00
 Reggio Calabria              |          19 |         3 |        15.79 |          19 |         3 |        15.79 |               0.00
 Inverness Caledonian Thistle |         133 |        48 |        36.09 |         133 |        48 |        36.09 |               0.00
 DSC Arminia Bielefeld        |          17 |         2 |        11.76 |          17 |         2 |        11.76 |               0.00
 Moreirense FC                |          49 |        12 |        24.49 |          49 |        13 |        26.53 |              -2.04
 1. FC Kaiserslautern         |          34 |         8 |        23.53 |          34 |         9 |        26.47 |              -2.94
 Widzew Łódź                  |          30 |         7 |        23.33 |          30 |         8 |        26.67 |              -3.33
 Hamilton Academical FC       |          95 |        26 |        27.37 |          95 |        30 |        31.58 |              -4.21
 Córdoba CF                   |          19 |         1 |         5.26 |          19 |         2 |        10.53 |              -5.26
 Bournemouth                  |          19 |         5 |        26.32 |          19 |         6 |        31.58 |              -5.26
 Angers SCO                   |          19 |         6 |        31.58 |          19 |         7 |        36.84 |              -5.26
 Podbeskidzie Bielsko-Biała   |          75 |        19 |        25.33 |          75 |        23 |        30.67 |              -5.33
 Tondela                      |          17 |         3 |        17.65 |          17 |         5 |        29.41 |             -11.76
 Dunfermline Athletic         |          19 |         1 |         5.26 |          19 |         4 |        21.05 |             -15.79
 SpVgg Greuther Fürth         |          17 |         0 |         0.00 |          17 |         4 |        23.53 |             -23.53
 SV Darmstadt 98              |          17 |         2 |        11.76 |          17 |         7 |        41.18 |             -29.41
(299 rows)

